CodFrota;descricao_especialidade
66062;EQUIPAMENTO IRRIG - TRANSFORMADOR
66063;EQUIPAMENTO IRRIG - TRANSFORMADOR
66064;IMPLEMENTO - DISTRIBUIDOR ADUBO
66065;IMPLEMENTO - CARRETA AGRICOLA
66066;IMPLEMENTO - CARRETA AGRICOLA
66067;IMPLEMENTO - DIVERSOS
66068;IMPLEMENTO - DIVERSOS
66069;EQUIPAMENTO IRRIG - TRANSFORMADOR
66070;EQUIPAMENTO IRRIG - TRANSFORMADOR
66071;IMPLEMENTO - DIVERSOS
66072;EQUIPAMENTO IRRIG - TRANSFORMADOR
66073;EQUIPAMENTO IRRIG - TRANSFORMADOR
66074;EQUIPAMENTO IRRIG - TRANSFORMADOR
66075;EQUIPAMENTO IRRIG - TRANSFORMADOR
66076;EQUIPAMENTO IRRIG - TRANSFORMADOR
66078;REBOQUE - TANQUE
66079;AREA VIVENCIA - DIVERSOS
66080;AREA VIVENCIA - DIVERSOS
66081;AREA VIVENCIA - DIVERSOS
66082;AREA VIVENCIA - DIVERSOS
66083;AREA VIVENCIA - DIVERSOS
66084;AREA VIVENCIA - DIVERSOS
66085;AREA VIVENCIA - DIVERSOS
66086;AREA VIVENCIA - DIVERSOS
66087;AREA VIVENCIA - DIVERSOS
66088;AREA VIVENCIA - DIVERSOS
66089;AREA VIVENCIA - DIVERSOS
66090;AREA VIVENCIA - DIVERSOS
66091;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66092;IMPLEMENTO - CARRETA AGRICOLA
66093;IMPLEMENTO - DIVERSOS
66094;IMPLEMENTO - DIVERSOS
66095;IMPLEMENTO - DISTRIBUIDOR ADUBO
66096;IMPLEMENTO - MOTOSSERRA
66097;IMPLEMENTO - MOTOSSERRA
66098;IMPLEMENTO - SULCADOR
66099;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66100;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66101;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66102;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66103;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66104;EQUIPAMENTO IRRIG - TRANSFORMADOR
66105;EQUIPAMENTO IRRIG - TRANSFORMADOR
66106;IMPLEMENTO - DIVERSOS
66107;IMPLEMENTO - DIVERSOS
66108;IMPLEMENTO - CARRETA AGRICOLA
66109;IMPLEMENTO - CARRETA AGRICOLA
66110;IMPLEMENTO - CARRETA AGRICOLA
66111;IMPLEMENTO - MOTOSSERRA
68001;UTILITARIO - DIVERSOS
68010;UTILITARIO - DIVERSOS
68012;UTILITARIO - DIVERSOS
68013;UTILITARIO - DIVERSOS
68015;UTILITARIO - OFICINA
68016;UTILITARIO - OFICINA
68017;UTILITARIO - OFICINA
68018;UTILITARIO - OFICINA
68019;UTILITARIO - OFICINA
68021;UTILITARIO - OFICINA
68022;UTILITARIO - OFICINA
68023;UTILITARIO - OFICINA
68024;UTILITARIO - OFICINA
68025;UTILITARIO - OFICINA
68026;UTILITARIO - OFICINA
68027;UTILITARIO - OFICINA
68028;UTILITARIO - OFICINA
68029;UTILITARIO - OFICINA
68030;UTILITARIO - OFICINA
68031;UTILITARIO - OFICINA
68032;UTILITARIO - OFICINA
68033;UTILITARIO - OFICINA
68034;UTILITARIO - OFICINA
68035;UTILITARIO - OFICINA
